Block,blockMsg,thisN,thisTrialN,thisRepN,CueType,StimType,CueTime,Stim_Height,Stim_Width,CRESP,Color,Orientation,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,TaskIntro.started,fixation.started,key_resp.started,TaskIntro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,BlockStart.started,BlockStart_Msg.started,key_resp_2.started,BlockStart.stopped,Blocks.key_resp_2.keys,Blocks.key_resp_2.rt,Blocks.key_resp_2.duration,Fixation.started,FixationPhase.started,Blank.started,FixationPhase.stopped,Blank.stopped,Fixation.stopped,Trial.started,Cue.started,Cue.stopped,GoNogo_Stim.started,Key_Resp.started,Trial.stopped,Trials.Key_Resp.keys,Trials.Key_Resp.corr,Trials.Key_Resp.rt,Trials.Key_Resp.duration,Feedback.started,Feedback_Present.started,Feedback.stopped,Feedback_Present.stopped,GoNogo_Stim.stopped,Key_Resp.stopped,BlockEnd.started,BlockEnd_Msg.started,key_resp_3.started,BlockEnd.stopped,Blocks.key_resp_3.keys,Blocks.key_resp_3.rt,Blocks.key_resp_3.duration,TaskEnd.started,ThankYou.started,key_resp_4.started,TaskEnd.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041152500023599714,0.0771748999832198,0.0771748999832198,11.821478400030173,space,11.664316900016274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2025-04-27_17h55.46.012,Cued GoNogo Task,2024.2.4,60.02015476072989,2025-04-27 17h55.58.165496 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,0,0,0,Go,Go,0.13,0.05,0.2,space,blue,horizontal,space,0.7809473000233993,None,space,1,0.27554719999898225,None,,,,0,0,0,0,0,0,0,0,12.698436699982267,,,,,,,,,11.829901900026016,11.832572199986316,11.832572199986316,12.624095799983479,space,0.7809473000233993,None,12.694906099990476,12.698436699982267,13.338564299978316,13.405140899994876,13.838151400035713,13.822386500018183,13.823221200029366,13.838151400035713,13.971264499996323,14.154503800033126,14.154503800033126,14.439131800027099,space,1,0.27554719999898225,None,14.449670400004834,14.953906900016591,15.953106100030709,,,,,,,,,,,,,,,,,,002,001,2025-04-27_17h55.46.012,Cued GoNogo Task,2024.2.4,60.02015476072989,2025-04-27 17h55.58.165496 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,1,1,0,NoGo,NoGo,0.43,0.05,0.2,none,blue,horizontal,space,0.7809473000233993,None,space,0,0.29253580002114177,None,,,,0,0,0,0,0,1,1,1,15.96954130002996,,,,,,,,,,,,,,,,15.953559699992184,15.96954130002996,16.65246280003339,16.668959600036032,17.152000900008716,17.13627329998417,17.137092899996787,17.152000900008716,17.584845300007146,17.784744300006423,17.784744300006423,18.0857476000092,space,0,0.29253580002114177,None,18.092694799997844,18.600673699984327,19.583993899985217,19.599963299988303,,,,,,,,,,,,,,,,,002,001,2025-04-27_17h55.46.012,Cued GoNogo Task,2024.2.4,60.02015476072989,2025-04-27 17h55.58.165496 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,2,2,0,Go,Go,0.12,0.2,0.05,space,blue,vertical,space,0.7809473000233993,None,space,1,0.35423609998542815,None,,,,0,0,0,0,0,2,2,2,19.599963299988303,,,,,,,,,,,,,,,,19.584296100016218,19.599963299988303,20.299231700017117,20.299231700017117,20.798897300031967,20.783170700015035,20.783848999999464,20.798897300031967,20.93211530003464,21.115408200013917,21.115408200013917,21.482883999997284,space,1,0.35423609998542815,None,21.487780300027225,21.997938200016506,22.98146400001133,22.997216499992646,,,,,,,,,,,,,,,,,002,001,2025-04-27_17h55.46.012,Cued GoNogo Task,2024.2.4,60.02015476072989,2025-04-27 17h55.58.165496 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,3,3,0,NoGo,NoGo,0.18,0.2,0.05,none,green,vertical,space,0.7809473000233993,None,None,1,,,,,,0,0,0,0,0,3,3,3,22.997216499992646,,,,,,,,,,,,,,,,22.9818175000255,22.997216499992646,23.69649760000175,23.69649760000175,24.196146000002045,24.18005710002035,24.180657499993686,24.196146000002045,24.379295599996112,24.56253709999146,24.56253709999146,25.04652819997864,None,1,,,25.049110100022517,25.561803099990357,26.545440800022334,26.56089389999397,25.06213440001011,25.06213440001011,,,,,,,,,,,,,,,002,001,2025-04-27_17h55.46.012,Cued GoNogo Task,2024.2.4,60.02015476072989,2025-04-27 17h55.58.165496 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,4,4,0,Go,Go,0.24,0.05,0.2,space,green,horizontal,space,0.7809473000233993,None,space,1,0.4048033999861218,None,,,,0,0,0,0,0,4,4,4,26.56089389999397,,,,,,,,,,,,,,,,26.545766700000968,26.56089389999397,27.260490100015886,27.260490100015886,27.759948900027666,27.74364170001354,27.744168400007766,27.759948900027666,28.00976190000074,28.192897400003858,28.192897400003858,28.610372000024654,space,1,0.4048033999861218,None,28.615460100001656,29.125481299997773,30.108569899981376,30.124581500014756,,,,,,,,,,,,,,,,,002,001,2025-04-27_17h55.46.012,Cued GoNogo Task,2024.2.4,60.02015476072989,2025-04-27 17h55.58.165496 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,5,5,0,Go,Go,0.21,0.05,0.2,space,blue,horizontal,space,0.7809473000233993,None,space,1,0.3695114000001922,None,,,,0,0,0,0,0,5,5,5,30.124581500014756,,,,,,,,,,,,,,,,30.108875799982343,30.124581500014756,30.824092700029723,30.824092700029723,31.323679300025105,31.30757549998816,31.308152400015388,31.323679300025105,31.539980500005186,31.72336240002187,31.72336240002187,32.10752850002609,space,1,0.3695114000001922,None,32.11376029998064,32.622568399994634,33.60565240000142,33.62175140000181,,,,,,,,,,,,,,,,,002,001,2025-04-27_17h55.46.012,Cued GoNogo Task,2024.2.4,60.02015476072989,2025-04-27 17h55.58.165496 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,6,6,0,Go,Go,0.11,0.2,0.05,space,blue,vertical,space,0.7809473000233993,None,space,1,0.35701640002662316,None,,,,0,0,0,0,0,6,6,6,33.62175140000181,,,,,,,,,,,,,,,,33.605903499992564,33.62175140000181,34.32118840003386,34.32118840003386,34.820676999981515,34.80473969999002,34.805335899989586,34.820676999981515,34.93733320001047,35.12047770002391,35.12047770002391,35.48795159999281,space,1,0.35701640002662316,None,35.49188340001274,36.003078199981246,36.98640749999322,37.00223179999739,,,,,,,,,,,,,,,,,002,001,2025-04-27_17h55.46.012,Cued GoNogo Task,2024.2.4,60.02015476072989,2025-04-27 17h55.58.165496 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,7,7,0,Go,Go,0.15,0.2,0.05,space,blue,vertical,space,0.7809473000233993,None,space,1,0.3817826000158675,None,,,,0,0,0,0,0,7,7,7,37.00223179999739,,,,,,,,,,,,,,,,36.986682899994776,37.00223179999739,37.70159860001877,37.70159860001877,38.201413800008595,38.185201700020116,38.18576900003245,38.201413800008595,38.35122860001866,38.551118100003805,38.551118100003805,38.93536659999518,space,1,0.3817826000158675,None,38.941531000018585,39.45033449999755,40.43358150002314,40.44950470002368,,,,,,,,,,,,,,,,,002,001,2025-04-27_17h55.46.012,Cued GoNogo Task,2024.2.4,60.02015476072989,2025-04-27 17h55.58.165496 +0200,
block/CondBlock1.xlsx,You are about to start a block of type 1 trials.,8,8,0,NoGo,NoGo,0.3,0.05,0.2,none,blue,horizontal,space,0.7809473000233993,None,None,1,,,,,,0,0,0,0,0,8,8,8,40.44950470002368,,,,,,,,,,,,,,,,40.43394920002902,40.44950470002368,41.148829800018575,41.148829800018575,41.648407400003634,41.632537800003774,41.63313820003532,41.648407400003634,41.94820839999011,42.14819149998948,42.14819149998948,42.63194699998712,None,1,,,42.63499570003478,43.147377800021786,44.13065160001861,44.146463299985044,42.64766369998688,42.64766369998688,,,,,,,,,,,,,,,002,001,2025-04-27_17h55.46.012,Cued GoNogo Task,2024.2.4,60.02015476072989,2025-04-27 17h55.58.165496 +0200,
