instruct_slide,thisN,thisTrialN,thisRepN,Block,CueType,StimType,CueTime,Stim_Height,Stim_Width,CRESP,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,instructions.started,imageInstruct.started,buttonNext.started,instructions.stopped,instruction_slide_loop.buttonNext.numClicks,instruction_slide_loop.buttonNext.timesOn,instruction_slide_loop.buttonNext.timesOff,TaskIntro.started,fixation.started,key_resp.started,TaskIntro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Fixation.started,FixationPhase.started,Blank.started,FixationPhase.stopped,Blank.stopped,Fixation.stopped,Trial.started,Cue.started,Cue.stopped,GoNogo_Stim.started,Key_Resp.started,Trial.stopped,Trials.Key_Resp.keys,Trials.Key_Resp.corr,Trials.Key_Resp.rt,Trials.Key_Resp.duration,Feedback.started,Feedback_Present.started,Feedback_Present.stopped,Feedback.stopped,GoNogo_Stim.stopped,Key_Resp.stopped,TaskEnd.started,Thankyou.started,key_resp_2.started,TaskEnd.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions/Slide3.PNG,2,2,0,,,,,,,,,,,,0,2,2,2,,,,,,,,,2.9718992999987677,,2.9680183999007568,2.9718992999987677,2.9718992999987677,3.31617149990052,1,[0.3434210999403149],[0.34343200002331287],3.3163532000035048,3.3296493999660015,3.3296493999660015,4.483517299988307,space,1.1388188999844715,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-05-03_19h35.21.797,Cued GoNogo Task,2024.2.4,60.077921097473606,2025-05-03 19h35.29.296662 +0200,
,0,0,0,blocks/CondGo.xlsx,Go,Go,0.2,0.05,0.2,space,space,1,0.2788303999695927,None,,,,,0,0,0,0,0,0,0,1,4.519720699987374,,,,,,,,,,,,,,,,4.517235099920072,4.519720699987374,5.194599499925971,5.227997499983758,5.694413099903613,5.678788199904375,5.679440399981104,5.694413099903613,5.894467399921268,6.0941865999484435,6.0941865999484435,6.3788386000087485,space,1,0.2788303999695927,None,6.389905299991369,6.893548399908468,7.892716399976052,7.877170299994759,,,,,,,,,,005,001,2025-05-03_19h35.21.797,Cued GoNogo Task,2024.2.4,60.077921097473606,2025-05-03 19h35.29.296662 +0200,
,1,1,0,blocks/CondGo.xlsx,Go,Go,0.1,0.05,0.2,space,space,1,0.3254992999136448,None,,,,,0,0,0,0,0,1,1,3,7.892716399976052,,,,,,,,,,,,,,,,7.877578499959782,7.892716399976052,8.592162699904293,8.592162699904293,9.091722299926914,9.0756018999964,9.076344699948095,9.091722299926914,9.191697099944577,9.391680800006725,9.391680800006725,9.72576169995591,space,1,0.3254992999136448,None,9.769495699903928,10.240746599971317,11.239900799933821,11.224314199993387,,,,,,,,,,005,001,2025-05-03_19h35.21.797,Cued GoNogo Task,2024.2.4,60.077921097473606,2025-05-03 19h35.29.296662 +0200,
,2,2,0,blocks/CondGo.xlsx,Go,Go,0.1,0.05,0.2,space,space,1,0.4038593000732362,None,,,,,0,0,0,0,0,2,2,0,11.239900799933821,,,,,,,,,,,,,,,,11.22464059991762,11.239900799933821,11.9394605999114,11.9394605999114,12.439018299919553,12.423349799937569,12.424127099919133,12.439018299919553,12.53902449994348,12.73886079993099,12.73886079993099,13.156709300004877,space,1,0.4038593000732362,None,13.164569099899381,13.671348699950613,14.670527899987064,14.655053699971177,,,,,,,,,,005,001,2025-05-03_19h35.21.797,Cued GoNogo Task,2024.2.4,60.077921097473606,2025-05-03 19h35.29.296662 +0200,
,3,3,0,blocks/CondGo.xlsx,NoGo,Go,0.5,0.2,0.05,space,space,1,0.31526019994635135,None,,,,,0,0,0,0,0,3,3,4,14.670527899987064,,,,,,,,,,,,,,,,14.655484999995679,14.670527899987064,15.370026299962774,15.370026299962774,15.869505899958313,15.853778399992734,15.85447529994417,15.869505899958313,16.369183199945837,16.568843999993987,16.568843999993987,16.886969099985436,space,1,0.31526019994635135,None,16.89151539991144,17.40130989998579,18.400709899957292,18.385098799946718,,,,,,,,,,005,001,2025-05-03_19h35.21.797,Cued GoNogo Task,2024.2.4,60.077921097473606,2025-05-03 19h35.29.296662 +0200,
,4,4,0,blocks/CondGo.xlsx,Go,Go,0.3,0.05,0.2,space,space,1,0.3065456000622362,None,,,,,0,0,0,0,0,4,4,2,18.400709899957292,,,,,,,,,,,,,,,,18.385499399970286,18.400709899957292,19.100146499928087,19.100146499928087,19.599664999987,19.584440899896435,19.585451199905947,19.599664999987,19.89929889992345,20.09947579994332,20.09947579994332,20.417556799948215,space,1,0.3065456000622362,None,20.42362489993684,20.931773399934173,21.943834999925457,21.915419699973427,,,,,,,,,,005,001,2025-05-03_19h35.21.797,Cued GoNogo Task,2024.2.4,60.077921097473606,2025-05-03 19h35.29.296662 +0200,
,0,0,0,blocks/CondGo.xlsx,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,005,001,2025-05-03_19h35.21.797,Cued GoNogo Task,2024.2.4,60.077921097473606,2025-05-03 19h35.29.296662 +0200,
,0,0,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.2,0.2,0.05,None,None,1,,,,,,,0,1,1,1,0,0,0,1,21.943834999925457,,,,,,,,,,,,,,,,21.941884999978356,21.943834999925457,22.630519700003788,22.647226999979466,23.13026839995291,23.114605599897914,23.115568599896505,23.13026839995291,23.33020869991742,23.529907499905676,23.529907499905676,24.01363649999257,None,1,,,24.016267300001346,24.52914040000178,25.52815919998102,25.51239719998557,24.02949349989649,24.02949349989649,,,,,,,,005,001,2025-05-03_19h35.21.797,Cued GoNogo Task,2024.2.4,60.077921097473606,2025-05-03 19h35.29.296662 +0200,
,1,1,0,blocks/CondNoGo.xlsx,Go,NoGo,0.5,0.05,0.2,None,None,1,,,,,,,0,1,1,1,0,1,1,4,25.52815919998102,,,,,,,,,,,,,,,,25.512684399960563,25.52815919998102,26.227680699899793,26.227680699899793,26.72703789989464,26.711048999917693,26.711442700005136,26.72703789989464,27.226828399929218,27.426544399932027,27.426544399932027,27.909984799916856,None,1,,,27.910329499980435,28.425938399974257,,29.424834099947475,27.926223999937065,27.926223999937065,,,,,,,,005,001,2025-05-03_19h35.21.797,Cued GoNogo Task,2024.2.4,60.077921097473606,2025-05-03 19h35.29.296662 +0200,
,2,2,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.1,0.2,0.05,None,None,1,,,,,,,0,1,1,1,0,2,2,0,29.44148109992966,,,,,,,,,,,,,,,,29.42503319995012,29.44148109992966,30.124281299998984,30.140961299999617,30.624057999928482,30.608280699932948,30.609400999965146,30.624057999928482,30.723788899951614,30.923618200002238,30.923618200002238,31.40762579999864,None,1,,,31.408473799936473,31.922959099989384,32.92204489989672,32.90613439993467,31.423474399955012,31.423474399955012,,,,,,,,005,001,2025-05-03_19h35.21.797,Cued GoNogo Task,2024.2.4,60.077921097473606,2025-05-03 19h35.29.296662 +0200,
