instruct_slide,thisN,thisTrialN,thisRepN,Block,CueType,StimType,CueTime,Stim_Height,Stim_Width,CRESP,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,instructions.started,imageInstruct.started,buttonNext.started,instructions.stopped,instruction_slide_loop.buttonNext.numClicks,instruction_slide_loop.buttonNext.timesOn,instruction_slide_loop.buttonNext.timesOff,TaskIntro.started,fixation.started,key_resp.started,TaskIntro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Fixation.started,FixationPhase.started,FixationPhase.stopped,Blank.started,Blank.stopped,Fixation.stopped,Trial.started,Cue.started,Cue.stopped,GoNogo_Stim.started,Key_Resp.started,GoNogo_Stim.stopped,Key_Resp.stopped,Trial.stopped,Trials.Key_Resp.keys,Trials.Key_Resp.corr,Feedback.started,Feedback_Present.started,Feedback_Present.stopped,Feedback.stopped,Trials.Key_Resp.rt,Trials.Key_Resp.duration,TaskEnd.started,Thankyou.started,key_resp_2.started,TaskEnd.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions/Slide3.PNG,2,2,0,,,,,,,,,,,,0,2,2,2,,,,,,,,,3.2629837999120355,,3.254819600027986,3.2629837999120355,3.2629837999120355,4.098029799992219,1,[0.8342320999363437],[0.8342444999143481],4.098166799987666,4.111454300000332,4.111454300000332,5.547683499986306,space,1.4182704000268131,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2025-05-03_19h37.12.105,Cued GoNogo Task,2024.2.4,60.028765779974066,2025-05-03 19h37.17.292173 +0200,
,0,0,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.2,0.2,0.05,None,None,1,,,,,,,0,0,0,1,0,0,0,1,5.56014720001258,,,,,,,,,,,,,,,,5.554558699950576,5.56014720001258,6.259709700010717,6.259709700010717,6.759288299945183,6.743590099969879,6.744355199974962,6.759288299945183,6.958987399935722,7.15883979992941,7.15883979992941,7.6586540000280365,7.6586540000280365,7.642736300011165,None,1,7.648186199949123,8.158049699966796,9.157373199937865,9.141951799974777,,,,,,,,,,007,001,2025-05-03_19h37.12.105,Cued GoNogo Task,2024.2.4,60.028765779974066,2025-05-03 19h37.17.292173 +0200,
,1,1,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.1,0.2,0.05,None,None,1,,,,,,,0,0,0,1,0,1,1,3,9.157373199937865,,,,,,,,,,,,,,,,9.142366599990055,9.157373199937865,9.856433899956755,9.856433899956755,10.385310499928892,10.381616499973461,10.382041899953038,10.385310499928892,10.48984749999363,10.656152899959125,10.656152899959125,11.155751999933273,11.155751999933273,11.140308699919842,None,1,11.14106960000936,11.655354599934071,12.654450499918312,12.638785699964501,,,,,,,,,,007,001,2025-05-03_19h37.12.105,Cued GoNogo Task,2024.2.4,60.028765779974066,2025-05-03 19h37.17.292173 +0200,
,2,2,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.1,0.2,0.05,None,None,1,,,,,,,0,0,0,1,0,2,2,0,12.654450499918312,,,,,,,,,,,,,,,,12.639160000020638,12.654450499918312,13.353727199952118,13.353727199952118,13.853485199972056,13.837849500006996,13.838708400027826,13.853485199972056,13.95320929994341,14.153269100002944,14.153269100002944,14.652778699994087,14.652778699994087,14.637130599934608,None,1,14.637707000016235,15.152428500005044,16.15152479999233,16.135772199952044,,,,,,,,,,007,001,2025-05-03_19h37.12.105,Cued GoNogo Task,2024.2.4,60.028765779974066,2025-05-03 19h37.17.292173 +0200,
,3,3,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.3,0.2,0.05,None,None,1,,,,,,,0,0,0,1,0,3,3,2,16.15152479999233,,,,,,,,,,,,,,,,16.136158799985424,16.15152479999233,16.850810899981298,16.850810899981298,17.350344999926165,17.33472459996119,17.335536999977194,17.350344999926165,17.65035110001918,17.850230099982582,17.850230099982582,18.349744500010274,18.349744500010274,18.334335999912582,None,1,18.33494219998829,18.849302100017667,19.848570799920708,19.833009199937806,,,,,,,,,,007,001,2025-05-03_19h37.12.105,Cued GoNogo Task,2024.2.4,60.028765779974066,2025-05-03 19h37.17.292173 +0200,
,4,4,0,blocks/CondNoGo.xlsx,Go,NoGo,0.5,0.05,0.2,None,None,1,,,,,,,0,0,0,1,0,4,4,4,19.848570799920708,,,,,,,,,,,,,,,,19.83341899991501,19.848570799920708,20.547778100008145,20.547778100008145,21.047423999989405,21.03182569995988,21.0326730000088,21.047423999989405,21.547238699975424,21.746971599990502,21.746971599990502,22.246494899969548,22.246494899969548,22.230251399916597,None,1,22.230833799927495,22.72965979995206,23.728418899932876,23.71324419998564,,,,,,,,,,007,001,2025-05-03_19h37.12.105,Cued GoNogo Task,2024.2.4,60.028765779974066,2025-05-03 19h37.17.292173 +0200,
,0,0,0,blocks/CondNoGo.xlsx,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,007,001,2025-05-03_19h37.12.105,Cued GoNogo Task,2024.2.4,60.028765779974066,2025-05-03 19h37.17.292173 +0200,
,0,0,0,blocks/CondGo.xlsx,NoGo,Go,0.5,0.2,0.05,space,space,1,0.3448452000739053,None,,,,,0,1,1,0,0,0,0,4,23.728418899932876,,,,,,,,,,,,,,,,23.722752999980003,23.745080999913625,24.444643300026655,24.444643300026655,24.94429609994404,24.92880679992959,24.92964500002563,24.94429609994404,25.443946599960327,25.643811299931258,25.643811299931258,,,25.99545509996824,space,1,26.004886199953035,26.509637699928135,27.509135099942796,27.493143299943767,0.3448452000739053,None,,,,,,,,007,001,2025-05-03_19h37.12.105,Cued GoNogo Task,2024.2.4,60.028765779974066,2025-05-03 19h37.17.292173 +0200,
,1,1,0,blocks/CondGo.xlsx,Go,Go,0.3,0.05,0.2,space,space,1,0.29137750004883856,None,,,,,0,1,1,0,0,1,1,2,27.509135099942796,,,,,,,,,,,,,,,,27.49345509998966,27.509135099942796,28.20837649994064,28.20837649994064,28.708032800001092,28.692177399992943,28.693103099940345,28.708032800001092,29.00733199995011,29.207501100027002,29.207501100027002,,,29.508596499916166,space,1,29.515603599953465,30.02333859994542,31.02266369992867,31.007222799933515,0.29137750004883856,None,,,,,,,,007,001,2025-05-03_19h37.12.105,Cued GoNogo Task,2024.2.4,60.028765779974066,2025-05-03 19h37.17.292173 +0200,
,2,2,0,blocks/CondGo.xlsx,Go,Go,0.2,0.05,0.2,space,space,1,0.34799450007267296,None,,,,,0,1,1,0,0,2,2,1,31.02266369992867,,,,,,,,,,,,,,,,31.007570500019938,31.02266369992867,31.722042899928056,31.722042899928056,32.221665999968536,32.20597170002293,32.20674129994586,32.221665999968536,32.42162469995674,32.62133749993518,32.62133749993518,,,32.97274070000276,space,1,32.97762589994818,33.487206000019796,34.48645259998739,34.470681899925694,0.34799450007267296,None,,,,,,,,007,001,2025-05-03_19h37.12.105,Cued GoNogo Task,2024.2.4,60.028765779974066,2025-05-03 19h37.17.292173 +0200,
