instruct_slide,thisN,thisTrialN,thisRepN,Block,CueType,StimType,CueTime,Stim_Height,Stim_Width,CRESP,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,instructions.started,imageInstruct.started,buttonNext.started,instructions.stopped,instruction_slide_loop.buttonNext.numClicks,instruction_slide_loop.buttonNext.timesOn,instruction_slide_loop.buttonNext.timesOff,TaskIntro.started,fixation.started,key_resp.started,TaskIntro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Fixation.started,FixationPhase.started,FixationPhase.stopped,Blank.started,Blank.stopped,Fixation.stopped,Trial.started,Cue.started,Cue.stopped,GoNogo_Stim.started,Key_Resp.started,GoNogo_Stim.stopped,Key_Resp.stopped,Trial.stopped,Trials.Key_Resp.keys,Trials.Key_Resp.corr,Feedback.started,Feedback_Present.started,Feedback_Present.stopped,Feedback.stopped,Trials.Key_Resp.rt,Trials.Key_Resp.duration,TaskEnd.started,Thankyou.started,key_resp_2.started,TaskEnd.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions/Slide3.PNG,2,2,0,,,,,,,,,,,,0,2,2,2,,,,,,,,,65.16887029999998,,65.16174940000019,65.16887029999998,65.16887029999998,77.57695530000092,1,[12.40722900000037],[12.407240400001683],77.57714300000043,77.59107419999964,77.59107419999964,90.81483079999998,space,13.214095899998938,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2025-04-23_15h27.21.107,Cued GoNogo Task,2024.2.4,60.167168460927755,2025-04-23 15h27.27.559981 +0200,
,0,0,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.3,0.2,0.05,None,None,1,,,,,,,0,0,0,1,0,0,0,2,90.8300218000004,,,,,,,,,,,,,,,,90.82416860000012,90.8300218000004,91.52969610000036,91.52969610000036,92.0293324000013,92.01375650000045,92.01466290000099,92.0293324000013,92.32890250000128,92.52886190000027,92.52886190000027,93.02829519999977,93.02829519999977,93.01262490000045,None,1,93.01972899999964,93.5279988000002,94.52707870000086,94.51163760000054,,,,,,,,,,002,001,2025-04-23_15h27.21.107,Cued GoNogo Task,2024.2.4,60.167168460927755,2025-04-23 15h27.27.559981 +0200,
,1,1,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.2,0.2,0.05,None,None,1,,,,,,,0,0,0,1,0,1,1,1,94.52707870000086,,,,,,,,,,,,,,,,94.51195820000066,94.52707870000086,95.22643799999969,95.22643799999969,95.72623810000005,95.7104760000002,95.71132820000093,95.72623810000005,95.92601889999969,96.12579310000001,96.12579310000001,96.6254441000001,96.6254441000001,96.60966499999995,None,1,96.61029770000096,97.12508060000073,98.12417290000121,98.10858590000134,,,,,,,,,,002,001,2025-04-23_15h27.21.107,Cued GoNogo Task,2024.2.4,60.167168460927755,2025-04-23 15h27.27.559981 +0200,
,2,2,0,blocks/CondNoGo.xlsx,Go,NoGo,0.5,0.05,0.2,None,None,1,,,,,,,0,0,0,1,0,2,2,4,98.12417290000121,,,,,,,,,,,,,,,,98.10894350000126,98.12417290000121,98.82374909999999,98.82374909999999,99.32321390000106,99.30751080000118,99.30830070000047,99.32321390000106,99.82277690000046,100.02273700000114,100.02273700000114,100.52230930000042,100.52230930000042,100.50695030000134,None,1,100.50752579999971,101.0219761999997,102.02106850000018,102.00527870000042,,,,,,,,,,002,001,2025-04-23_15h27.21.107,Cued GoNogo Task,2024.2.4,60.167168460927755,2025-04-23 15h27.27.559981 +0200,
,3,3,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.1,0.2,0.05,None,space,0,0.2979353999999148,None,,,,,0,0,0,1,0,3,3,3,102.02106850000018,,,,,,,,,,,,,,,,102.00561800000105,102.02106850000018,102.72046220000084,102.72046220000084,103.21995090000019,103.20434449999993,103.20509839999977,103.21995090000019,103.31982470000003,103.51962790000107,103.51962790000107,,,103.82162820000121,space,0,103.8307506000001,104.33580830000028,105.33495630000107,105.31936860000133,0.2979353999999148,None,,,,,,,,002,001,2025-04-23_15h27.21.107,Cued GoNogo Task,2024.2.4,60.167168460927755,2025-04-23 15h27.27.559981 +0200,
,4,4,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.1,0.2,0.05,None,None,1,,,,,,,0,0,0,1,0,4,4,0,105.33495630000107,,,,,,,,,,,,,,,,105.31971929999963,105.33495630000107,106.0344814,106.0344814,106.5340627000005,106.51827030000095,106.51890079999976,106.5340627000005,106.63405910000074,106.83381490000102,106.83381490000102,107.33327930000087,107.33327930000087,107.31782039999962,None,1,107.3216463000008,107.83289160000095,108.83185279999998,108.81635509999978,,,,,,,,,,002,001,2025-04-23_15h27.21.107,Cued GoNogo Task,2024.2.4,60.167168460927755,2025-04-23 15h27.27.559981 +0200,
,0,0,0,blocks/CondNoGo.xlsx,,,,,,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2025-04-23_15h27.21.107,Cued GoNogo Task,2024.2.4,60.167168460927755,2025-04-23 15h27.27.559981 +0200,
,0,0,0,blocks/CondGo.xlsx,NoGo,Go,0.5,0.2,0.05,space,space,1,0.3166829999991023,None,,,,,0,1,1,0,0,0,0,4,108.83185279999998,,,,,,,,,,,,,,,,108.8247081999998,108.83185279999998,109.53167120000035,109.53167120000035,110.03113090000079,110.01527760000135,110.01619560000108,110.03113090000079,110.5307040000007,110.73064650000015,110.73064650000015,,,111.04996910000045,space,1,111.05913479999981,111.56319780000013,112.56229330000133,112.54688250000072,0.3166829999991023,None,,,,,,,,002,001,2025-04-23_15h27.21.107,Cued GoNogo Task,2024.2.4,60.167168460927755,2025-04-23 15h27.27.559981 +0200,
,1,1,0,blocks/CondGo.xlsx,Go,Go,0.1,0.05,0.2,space,space,1,0.3033390000000509,None,,,,,0,1,1,0,0,1,1,3,112.56229330000133,,,,,,,,,,,,,,,,112.54728439999963,112.56229330000133,113.26175239999975,113.26175239999975,113.76133160000063,113.74573320000127,113.74651210000047,113.76133160000063,113.86131010000099,114.06113530000039,114.06113530000039,,,114.37891710000076,space,1,114.38403590000053,114.8937631000008,115.89321360000031,115.87730130000091,0.3033390000000509,None,,,,,,,,002,001,2025-04-23_15h27.21.107,Cued GoNogo Task,2024.2.4,60.167168460927755,2025-04-23 15h27.27.559981 +0200,
,2,2,0,blocks/CondGo.xlsx,Go,Go,0.1,0.05,0.2,space,space,1,0.3074735000009241,None,,,,,0,1,1,0,0,2,2,0,115.89321360000031,,,,,,,,,,,,,,,,115.87765630000104,115.89321360000031,116.59253720000015,116.59253720000015,117.09199199999966,117.07647650000035,117.07724229999985,117.09199199999966,117.19210620000013,117.39176120000047,117.39176120000047,,,117.70918450000136,space,1,117.71436900000117,118.22458160000133,119.2237167000003,119.20786690000023,0.3074735000009241,None,,,,,,,,002,001,2025-04-23_15h27.21.107,Cued GoNogo Task,2024.2.4,60.167168460927755,2025-04-23 15h27.27.559981 +0200,
