instruct_slide,thisN,thisTrialN,thisRepN,Block,CueType,StimType,CueTime,Stim_Height,Stim_Width,CRESP,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,instructions.started,imageInstruct.started,buttonNext.started,instructions.stopped,instruction_slide_loop.buttonNext.numClicks,instruction_slide_loop.buttonNext.timesOn,instruction_slide_loop.buttonNext.timesOff,TaskIntro.started,fixation.started,key_resp.started,TaskIntro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Fixation.started,FixationPhase.started,FixationPhase.stopped,Blank.started,Blank.stopped,Fixation.stopped,Trial.started,Cue.started,Cue.stopped,GoNogo_Stim.started,Key_Resp.started,Trial.stopped,Trials.Key_Resp.keys,Trials.Key_Resp.corr,Trials.Key_Resp.rt,Trials.Key_Resp.duration,Feedback.started,Feedback_Present.started,Feedback_Present.stopped,Feedback.stopped,GoNogo_Stim.stopped,Key_Resp.stopped,TaskEnd.started,Thankyou.started,key_resp_2.started,TaskEnd.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions/Slide3.PNG,2,2,0,,,,,,,,,,,,0,2,2,2,,,,,,,,,2.7592304000863805,,2.752678900025785,2.7592304000863805,2.7592304000863805,3.1931713999947533,1,[0.4332905999617651],[0.43329839990474284],3.1932966000167653,3.2079946000594646,3.2079946000594646,4.910777100012638,space,1.6940394999692217,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2025-05-03_19h39.06.138,Cued GoNogo Task,2024.2.4,60.09387864448861,2025-05-03 19h39.14.998809 +0200,
,0,0,0,blocks/CondGo.xlsx,Go,Go,0.3,0.05,0.2,space,space,1,0.3716432999353856,None,,,,,0,0,0,0,0,0,0,2,4.9230376000050455,,,,,,,,,,,,,,,,4.917985200067051,4.9230376000050455,5.622562100063078,5.622562100063078,6.122162300045602,6.106293700053357,6.1069132999982685,6.122162300045602,6.4220081000821665,6.621880799997598,6.621880799997598,7.006059700041078,space,1,0.3716432999353856,None,7.016896800021641,7.521063600084744,8.520183000015095,8.504067900008522,,,,,,,,,,008,001,2025-05-03_19h39.06.138,Cued GoNogo Task,2024.2.4,60.09387864448861,2025-05-03 19h39.14.998809 +0200,
,1,1,0,blocks/CondGo.xlsx,NoGo,Go,0.5,0.2,0.05,space,space,1,0.2717631000559777,None,,,,,0,0,0,0,0,1,1,4,8.520183000015095,,,,,,,,,,,,,,,,8.50431300001219,8.520183000015095,9.219710699981079,9.219710699981079,9.719320300035179,9.703757500043139,9.704677600064315,9.719320300035179,10.218868000083603,10.395444100024179,10.395444100024179,10.670597000047565,space,1,0.2717631000559777,None,10.675743500003591,11.184793599997647,12.183966899989173,12.168133400031365,,,,,,,,,,008,001,2025-05-03_19h39.06.138,Cued GoNogo Task,2024.2.4,60.09387864448861,2025-05-03 19h39.14.998809 +0200,
,2,2,0,blocks/CondGo.xlsx,Go,Go,0.1,0.05,0.2,space,space,1,0.24717860005330294,None,,,,,0,0,0,0,0,2,2,3,12.183966899989173,,,,,,,,,,,,,,,,12.168476100079715,12.183966899989173,12.883309100056067,12.883309100056067,13.382764000096358,13.367083900026046,13.367693300009705,13.382764000096358,13.482987000024877,13.682748100021854,13.682748100021854,13.93357350002043,space,1,0.24717860005330294,None,13.938203500001691,14.448702300083824,15.447973900008947,15.432289300020784,,,,,,,,,,008,001,2025-05-03_19h39.06.138,Cued GoNogo Task,2024.2.4,60.09387864448861,2025-05-03 19h39.14.998809 +0200,
,3,3,0,blocks/CondGo.xlsx,Go,Go,0.1,0.05,0.2,space,space,1,0.258237799978815,None,,,,,0,0,0,0,0,3,3,0,15.447973900008947,,,,,,,,,,,,,,,,15.432680300087668,15.447973900008947,16.147322300006635,16.147322300006635,16.646957600023597,16.631194800022058,16.632044600090012,16.646957600023597,16.7466807999881,16.946475900011137,16.946475900011137,17.214273700024933,space,1,0.258237799978815,None,17.22121640003752,17.729401000076905,18.728518899995834,18.712923699989915,,,,,,,,,,008,001,2025-05-03_19h39.06.138,Cued GoNogo Task,2024.2.4,60.09387864448861,2025-05-03 19h39.14.998809 +0200,
,4,4,0,blocks/CondGo.xlsx,Go,Go,0.2,0.05,0.2,space,space,1,0.400926599977538,None,,,,,0,0,0,0,0,4,4,1,18.728518899995834,,,,,,,,,,,,,,,,18.713218600023538,18.728518899995834,19.428076000069268,19.428076000069268,19.927318900008686,19.911525800009258,19.912052300060168,19.927318900008686,20.127493100007996,20.32727590005379,20.32727590005379,20.744880600017495,space,1,0.400926599977538,None,20.749300400028005,21.259804900037125,22.25888340000529,22.24328430008609,,,,,,,,,,008,001,2025-05-03_19h39.06.138,Cued GoNogo Task,2024.2.4,60.09387864448861,2025-05-03 19h39.14.998809 +0200,
,0,0,0,blocks/CondGo.xlsx,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,008,001,2025-05-03_19h39.06.138,Cued GoNogo Task,2024.2.4,60.09387864448861,2025-05-03 19h39.14.998809 +0200,
,0,0,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.1,0.2,0.05,None,None,1,,,,,,,0,1,1,1,0,0,0,3,22.25888340000529,,,,,,,,,,,,,,,,22.248334200005047,22.25888340000529,22.958468100056052,22.958468100056052,23.45816660008859,23.44217060005758,23.442982300068252,23.45816660008859,23.55783030006569,23.757788000046276,23.757788000046276,24.241199500043876,None,1,,,24.243746799998917,24.74020450003445,25.73940560000483,25.72352470003534,24.25725530006457,24.25725530006457,,,,,,,,008,001,2025-05-03_19h39.06.138,Cued GoNogo Task,2024.2.4,60.09387864448861,2025-05-03 19h39.14.998809 +0200,
,1,1,0,blocks/CondNoGo.xlsx,Go,NoGo,0.5,0.05,0.2,None,None,1,,,,,,,0,1,1,1,0,1,1,4,25.73940560000483,,,,,,,,,,,,,,,,25.723819500068203,25.756126300082542,26.455530400038697,26.455530400038697,26.95520209998358,26.939443000010215,26.940293800085783,26.95520209998358,27.454714499996044,27.65462380007375,27.65462380007375,28.138440000009723,None,1,,,28.139099700027145,28.65381440008059,,29.65312440006528,28.15423169999849,28.15423169999849,,,,,,,,008,001,2025-05-03_19h39.06.138,Cued GoNogo Task,2024.2.4,60.09387864448861,2025-05-03 19h39.14.998809 +0200,
,2,2,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.3,0.2,0.05,None,None,1,,,,,,,0,1,1,1,0,2,2,2,29.66959190007765,,,,,,,,,,,,,,,,29.653445600066334,29.66959190007765,30.368868299992755,30.352136900066398,30.85180709999986,30.836207100073807,30.836984100053087,30.85180709999986,31.151692499988712,31.351373800076544,31.351373800076544,31.83461110002827,None,1,,,31.834893300081603,32.333608300075866,33.333200599998236,33.31764500006102,31.85073230008129,31.85073230008129,,,,,,,,008,001,2025-05-03_19h39.06.138,Cued GoNogo Task,2024.2.4,60.09387864448861,2025-05-03 19h39.14.998809 +0200,
