instruct_slide,thisN,thisTrialN,thisRepN,Block,CueType,StimType,CueTime,Stim_Height,Stim_Width,CRESP,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,instructions.started,imageInstruct.started,buttonNext.started,instructions.stopped,instruction_slide_loop.buttonNext.numClicks,instruction_slide_loop.buttonNext.timesOn,instruction_slide_loop.buttonNext.timesOff,TaskIntro.started,fixation.started,key_resp.started,TaskIntro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Fixation.started,FixationPhase.started,FixationPhase.stopped,Blank.started,Blank.stopped,Fixation.stopped,Trial.started,Cue.started,Cue.stopped,GoNogo_Stim.started,Key_Resp.started,Trial.stopped,Trials.Key_Resp.keys,Trials.Key_Resp.corr,Trials.Key_Resp.rt,Trials.Key_Resp.duration,Feedback.started,Feedback_Present.started,Feedback_Present.stopped,Feedback.stopped,GoNogo_Stim.stopped,Key_Resp.stopped,TaskEnd.started,Thankyou.started,key_resp_2.started,TaskEnd.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions/Slide3.PNG,2,2,0,,,,,,,,,,,,0,2,2,2,,,,,,,,,2.714530700002797,,2.7064253999851644,2.714530700002797,2.714530700002797,3.231353300041519,1,[0.5161272999830544],[0.5161360999336466],3.2314611000474542,3.246477699954994,3.246477699954994,4.2818761999951676,space,1.0281576999695972,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2025-05-03_19h45.07.794,Cued GoNogo Task,2024.2.4,60.21698588477236,2025-05-03 19h45.17.947091 +0200,
,0,0,0,blocks/CondGo.xlsx,Go,Go,0.1,0.05,0.2,space,space,1,0.27881059993524104,None,,,,,0,0,0,0,0,0,0,0,4.295366000034846,,,,,,,,,,,,,,,,4.289873900008388,4.295366000034846,4.994754599989392,4.994754599989392,5.49479419994168,5.478348699980415,5.478713599964976,5.49479419994168,5.594371099956334,5.794220700045116,5.794220700045116,6.07838860002812,space,1,0.27881059993524104,None,6.090164399938658,6.593546999967657,7.592698200023733,7.576688300003298,,,,,,,,,,010,001,2025-05-03_19h45.07.794,Cued GoNogo Task,2024.2.4,60.21698588477236,2025-05-03 19h45.17.947091 +0200,
,1,1,0,blocks/CondGo.xlsx,Go,Go,0.3,0.05,0.2,space,space,1,0.1401385999051854,None,,,,,0,0,0,0,0,1,1,2,7.592698200023733,,,,,,,,,,,,,,,,7.576923000044189,7.592698200023733,8.292009699973278,8.292009699973278,8.791739900014363,8.77579850004986,8.776175700011663,8.791739900014363,9.091468899976462,9.291329200030304,9.291329200030304,9.442372999968939,space,1,0.1401385999051854,None,9.48813389998395,9.95747639995534,10.956681299954653,10.940498900017701,,,,,,,,,,010,001,2025-05-03_19h45.07.794,Cued GoNogo Task,2024.2.4,60.21698588477236,2025-05-03 19h45.17.947091 +0200,
,2,2,0,blocks/CondGo.xlsx,Go,Go,0.2,0.05,0.2,space,space,1,0.09314830007497221,None,,,,,0,0,0,0,0,2,2,1,10.956681299954653,,,,,,,,,,,,,,,,10.940705199958757,10.956681299954653,11.655970499967225,11.655970499967225,12.155878599965945,12.139509200002067,12.139914599945769,12.155878599965945,12.355350699974224,12.555186999961734,12.555186999961734,12.656085300026461,space,1,0.09314830007497221,None,12.66038480005227,13.17150529997889,14.17054520000238,14.154688099981286,,,,,,,,,,010,001,2025-05-03_19h45.07.794,Cued GoNogo Task,2024.2.4,60.21698588477236,2025-05-03 19h45.17.947091 +0200,
,3,3,0,blocks/CondGo.xlsx,Go,Go,0.1,0.05,0.2,space,space,1,0.1420761999906972,None,,,,,0,0,0,0,0,3,3,3,14.17054520000238,,,,,,,,,,,,,,,,14.154848500038497,14.17054520000238,14.870089199976064,14.870089199976064,15.369681200012565,15.353575699962676,15.354106200044043,15.369681200012565,15.469370999955572,15.6692642000271,15.6692642000271,15.820210300036706,space,1,0.1420761999906972,None,15.823035300010815,16.335665600025095,17.33474630001001,17.3187515999889,,,,,,,,,,010,001,2025-05-03_19h45.07.794,Cued GoNogo Task,2024.2.4,60.21698588477236,2025-05-03 19h45.17.947091 +0200,
,4,4,0,blocks/CondGo.xlsx,NoGo,Go,0.5,0.2,0.05,space,space,1,0.20653990004211664,None,,,,,0,0,0,0,0,4,4,4,17.33474630001001,,,,,,,,,,,,,,,,17.318956900038756,17.33474630001001,18.0341894000303,18.0341894000303,18.533587099984288,18.517779599991627,18.51813730003778,18.533587099984288,19.033391500008292,19.233312999946065,19.233312999946065,19.45057560002897,space,1,0.20653990004211664,None,19.455546500044875,19.965744400047697,20.96507609996479,20.948935299995355,,,,,,,,,,010,001,2025-05-03_19h45.07.794,Cued GoNogo Task,2024.2.4,60.21698588477236,2025-05-03 19h45.17.947091 +0200,
,0,0,0,blocks/CondGo.xlsx,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2025-05-03_19h45.07.794,Cued GoNogo Task,2024.2.4,60.21698588477236,2025-05-03 19h45.17.947091 +0200,
,0,0,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.3,0.2,0.05,None,space,0,0.16590789996553212,None,,,,,0,1,1,1,0,0,0,2,20.96507609996479,,,,,,,,,,,,,,,,20.953748199972324,20.96507609996479,21.66430099995341,21.66430099995341,22.16401159996167,22.14787330001127,22.148267599986866,22.16401159996167,22.463742100051604,22.6636029999936,22.6636029999936,22.831655899994075,space,0,0.16590789996553212,None,22.839620399987325,23.34652380004991,24.345557800028473,24.32966899999883,,,,,,,,,,010,001,2025-05-03_19h45.07.794,Cued GoNogo Task,2024.2.4,60.21698588477236,2025-05-03 19h45.17.947091 +0200,
,1,1,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.1,0.2,0.05,None,None,1,,,,,,,0,1,1,1,0,1,1,0,24.345557800028473,,,,,,,,,,,,,,,,24.329844000050798,24.345557800028473,25.044917999999598,25.044917999999598,25.544532699976116,25.529014899977483,25.529372400022112,25.544532699976116,25.64455149997957,25.84438180003781,25.84438180003781,26.327790800016373,None,1,,,26.329399300040677,26.82692959997803,27.82609969994519,27.809923300053924,26.34379810001701,26.34379810001701,,,,,,,,010,001,2025-05-03_19h45.07.794,Cued GoNogo Task,2024.2.4,60.21698588477236,2025-05-03 19h45.17.947091 +0200,
,2,2,0,blocks/CondNoGo.xlsx,Go,NoGo,0.5,0.05,0.2,None,None,1,,,,,,,0,1,1,1,0,2,2,4,27.82609969994519,,,,,,,,,,,,,,,,27.81011830002535,27.842777500045486,28.54207059997134,28.54207059997134,29.04154749994632,29.025491600041278,29.02611410000827,29.04154749994632,29.541439300053753,29.741344699985348,29.741344699985348,30.225125600001775,None,1,,,30.225407000049017,30.74037919996772,31.739717700053006,31.72345889999997,30.240786000038497,30.240786000038497,,,,,,,,010,001,2025-05-03_19h45.07.794,Cued GoNogo Task,2024.2.4,60.21698588477236,2025-05-03 19h45.17.947091 +0200,
,3,3,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.2,0.2,0.05,None,None,1,,,,,,,0,1,1,1,0,3,3,1,31.739717700053006,,,,,,,,,,,,,,,,31.723639099975117,31.739717700053006,32.438790400046855,32.438790400046855,32.938441399950534,32.92263519996777,32.92328250000719,32.938441399950534,33.13857469998766,33.338410799973644,33.338410799973644,33.82171579997521,None,1,,,33.822003399953246,34.320776500040665,35.31984959996771,35.30386400001589,33.837843899964355,33.837843899964355,,,,,,,,010,001,2025-05-03_19h45.07.794,Cued GoNogo Task,2024.2.4,60.21698588477236,2025-05-03 19h45.17.947091 +0200,
,4,4,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.1,0.2,0.05,None,None,1,,,,,,,0,1,1,1,0,4,4,3,35.31984959996771,,,,,,,,,,,,,,,,35.30402869998943,35.33652929996606,36.03590979997534,36.03590979997534,36.53556370001752,36.5195521999849,36.51995500002522,36.53556370001752,36.63541340001393,36.835585099994205,36.835585099994205,37.322382600046694,None,1,,,37.32270969997626,37.821193799958564,38.8214055999415,38.805410300032236,37.3383848000085,37.3383848000085,,,,,,,,010,001,2025-05-03_19h45.07.794,Cued GoNogo Task,2024.2.4,60.21698588477236,2025-05-03 19h45.17.947091 +0200,
,1,1,0,blocks/CondNoGo.xlsx,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,010,001,2025-05-03_19h45.07.794,Cued GoNogo Task,2024.2.4,60.21698588477236,2025-05-03 19h45.17.947091 +0200,
