instruct_slide,thisN,thisTrialN,thisRepN,Block,CueType,StimType,CueTime,Stim_Height,Stim_Width,CRESP,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,instructions.started,imageInstruct.started,buttonNext.started,instructions.stopped,instruction_slide_loop.buttonNext.numClicks,instruction_slide_loop.buttonNext.timesOn,instruction_slide_loop.buttonNext.timesOff,TaskIntro.started,fixation.started,key_resp.started,TaskIntro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Fixation.started,FixationPhase.started,FixationPhase.stopped,Blank.started,Blank.stopped,Fixation.stopped,Trial.started,Cue.started,Cue.stopped,GoNogo_Stim.started,Key_Resp.started,Trial.stopped,Trials.Key_Resp.keys,Trials.Key_Resp.corr,Trials.Key_Resp.rt,Trials.Key_Resp.duration,Feedback.started,Feedback_Present.started,Feedback_Present.stopped,Feedback.stopped,GoNogo_Stim.stopped,Key_Resp.stopped,TaskEnd.started,Thankyou.started,key_resp_2.started,TaskEnd.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions/Slide3.PNG,2,2,0,,,,,,,,,,,,0,2,2,2,,,,,,,,,1.5254680999787524,,1.516037299996242,1.5254680999787524,1.5254680999787524,1.9259472000412643,1,[0.3999452000716701],[0.39995200000703335],1.9260371000273153,1.9410009999992326,1.9410009999992326,3.512170200003311,space,1.565380199928768,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2025-05-03_19h40.44.187,Cued GoNogo Task,2024.2.4,60.04347149681782,2025-05-03 19h40.49.673096 +0200,
,0,0,0,blocks/CondGo.xlsx,Go,Go,0.1,0.05,0.2,space,space,1,0.3039193000877276,None,,,,,0,0,0,0,0,0,0,3,3.5227217000210658,,,,,,,,,,,,,,,,3.519178800052032,3.5227217000210658,4.22241250006482,4.22241250006482,4.721861300058663,4.706066200044006,4.706856400007382,4.721861300058663,4.821855699992739,5.021645999979228,5.021645999979228,5.339560499996878,space,1,0.3039193000877276,None,5.349480899982154,5.854150600032881,6.853662500041537,6.837818600004539,,,,,,,,,,009,001,2025-05-03_19h40.44.187,Cued GoNogo Task,2024.2.4,60.04347149681782,2025-05-03 19h40.49.673096 +0200,
,1,1,0,blocks/CondGo.xlsx,Go,Go,0.1,0.05,0.2,space,space,1,0.2795398000162095,None,,,,,0,0,0,0,0,1,1,0,6.853662500041537,,,,,,,,,,,,,,,,6.838125100010075,6.853662500041537,7.553002699976787,7.553002699976787,8.052491800044663,8.036712600034662,8.037358900066465,8.052491800044663,8.152449500048533,8.352419900009409,8.352419900009409,8.636746000032872,space,1,0.2795398000162095,None,8.64335230004508,9.151471200049855,10.150673100026324,10.135552300023846,,,,,,,,,,009,001,2025-05-03_19h40.44.187,Cued GoNogo Task,2024.2.4,60.04347149681782,2025-05-03 19h40.49.673096 +0200,
,2,2,0,blocks/CondGo.xlsx,Go,Go,0.3,0.05,0.2,space,space,1,0.26133319991640747,None,,,,,0,0,0,0,0,2,2,2,10.150673100026324,,,,,,,,,,,,,,,,10.135958599974401,10.150673100026324,10.850037800031714,10.850037800031714,11.34970829996746,11.333828900009394,11.334522600052878,11.34970829996746,11.649552499991842,11.849436499993317,11.849436499993317,12.117148100049235,space,1,0.26133319991640747,None,12.161684700055048,12.632285200059414,13.631232600077055,13.615434700041078,,,,,,,,,,009,001,2025-05-03_19h40.44.187,Cued GoNogo Task,2024.2.4,60.04347149681782,2025-05-03 19h40.49.673096 +0200,
,3,3,0,blocks/CondGo.xlsx,NoGo,Go,0.5,0.2,0.05,space,space,1,0.3229981999611482,None,,,,,0,0,0,0,0,3,3,4,13.631232600077055,,,,,,,,,,,,,,,,13.615748099982738,13.631232600077055,14.330808900063857,14.330808900063857,14.83056899998337,14.814627300016582,14.815403599990532,14.83056899998337,15.329774699988775,15.52965000004042,15.52965000004042,15.864475800073706,space,1,0.3229981999611482,None,15.869623700040393,16.379116700030863,17.3781733000651,17.362733100075275,,,,,,,,,,009,001,2025-05-03_19h40.44.187,Cued GoNogo Task,2024.2.4,60.04347149681782,2025-05-03 19h40.49.673096 +0200,
,4,4,0,blocks/CondGo.xlsx,Go,Go,0.2,0.05,0.2,space,space,1,0.2948389999801293,None,,,,,0,0,0,0,0,4,4,1,17.3781733000651,,,,,,,,,,,,,,,,17.36310620000586,17.3781733000651,18.077475000056438,18.077475000056438,18.577187100076117,18.56148390006274,18.562270099995658,18.577187100076117,18.777090899995528,18.977054800023325,18.977054800023325,19.278276900062338,space,1,0.2948389999801293,None,19.28399879997596,19.79295919998549,20.792107500019483,20.77658349997364,,,,,,,,,,009,001,2025-05-03_19h40.44.187,Cued GoNogo Task,2024.2.4,60.04347149681782,2025-05-03 19h40.49.673096 +0200,
,0,0,0,blocks/CondGo.xlsx,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,009,001,2025-05-03_19h40.44.187,Cued GoNogo Task,2024.2.4,60.04347149681782,2025-05-03 19h40.49.673096 +0200,
,0,0,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.1,0.2,0.05,None,None,1,,,,,,,0,1,1,1,0,0,0,3,20.792107500019483,,,,,,,,,,,,,,,,20.784127600025386,20.792107500019483,21.4915456000017,21.4915456000017,21.99099359998945,21.97542480006814,21.976148399990052,21.99099359998945,22.09093910001684,22.290969799971208,22.290969799971208,22.774696800042875,None,1,,,22.777926100068726,23.29001320002135,24.289162900066003,24.27373210003134,22.790254099993035,22.790254099993035,,,,,,,,009,001,2025-05-03_19h40.44.187,Cued GoNogo Task,2024.2.4,60.04347149681782,2025-05-03 19h40.49.673096 +0200,
,1,1,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.3,0.2,0.05,None,space,0,0.24037889996543527,None,,,,,0,1,1,1,0,1,1,2,24.289162900066003,,,,,,,,,,,,,,,,24.274113400024362,24.289162900066003,24.988795900018886,24.988795900018886,25.488335100002587,25.472844299976714,25.473713600076735,25.488335100002587,25.78800419997424,25.98785969999153,25.98785969999153,26.23916920006741,space,0,0.24037889996543527,None,26.2488364999881,26.753931000013836,27.753089000005275,27.73739210003987,,,,,,,,,,009,001,2025-05-03_19h40.44.187,Cued GoNogo Task,2024.2.4,60.04347149681782,2025-05-03 19h40.49.673096 +0200,
,2,2,0,blocks/CondNoGo.xlsx,Go,NoGo,0.5,0.05,0.2,None,None,1,,,,,,,0,1,1,1,0,2,2,4,27.753089000005275,,,,,,,,,,,,,,,,27.737774100038223,27.753089000005275,28.45254940004088,28.45254940004088,28.95200150005985,28.93607349996455,28.93678380001802,28.95200150005985,29.45160200004466,29.65154730004724,29.65154730004724,30.1355884000659,None,1,,,30.139070600038394,30.650514399982058,31.649796799989417,31.634210500051267,30.151029900065623,30.151029900065623,,,,,,,,009,001,2025-05-03_19h40.44.187,Cued GoNogo Task,2024.2.4,60.04347149681782,2025-05-03 19h40.49.673096 +0200,
