instruct_slide,thisN,thisTrialN,thisRepN,Block,CueType,StimType,CueTime,Stim_Height,Stim_Width,CRESP,Key_Resp.keys,Key_Resp.corr,Key_Resp.rt,Key_Resp.duration,instruction_slide_loop.thisRepN,instruction_slide_loop.thisTrialN,instruction_slide_loop.thisN,instruction_slide_loop.thisIndex,Blocks.thisRepN,Blocks.thisTrialN,Blocks.thisN,Blocks.thisIndex,Trials.thisRepN,Trials.thisTrialN,Trials.thisN,Trials.thisIndex,thisRow.t,notes,instructions.started,imageInstruct.started,buttonNext.started,instructions.stopped,instruction_slide_loop.buttonNext.numClicks,instruction_slide_loop.buttonNext.timesOn,instruction_slide_loop.buttonNext.timesOff,TaskIntro.started,fixation.started,key_resp.started,TaskIntro.stopped,key_resp.keys,key_resp.rt,key_resp.duration,Fixation.started,FixationPhase.started,Blank.started,FixationPhase.stopped,Blank.stopped,Fixation.stopped,Trial.started,Cue.started,Cue.stopped,GoNogo_Stim.started,Key_Resp.started,GoNogo_Stim.stopped,Key_Resp.stopped,Trial.stopped,Trials.Key_Resp.keys,Trials.Key_Resp.corr,Feedback.started,Feedback_Present.started,Feedback_Present.stopped,Feedback.stopped,Trials.Key_Resp.rt,Trials.Key_Resp.duration,TaskEnd.started,Thankyou.started,key_resp_2.started,TaskEnd.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
instructions/Slide3.PNG,2,2,0,,,,,,,,,,,,0,2,2,2,,,,,,,,,68.05307410000023,,68.04913090000082,68.05307410000023,68.05307410000023,85.52028150000115,1,[17.466659499999878],[17.466666899999836],85.52038210000137,85.53462560000116,85.53462560000116,90.74752720000106,space,5.132860499999879,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2025-04-23_14h17.13.882,Cued GoNogo Task,2024.2.4,60.08802896228263,2025-04-23 14h17.22.869765 +0200,
,0,0,0,blocks/CondGo.xlsx,NoGo,Go,0.5,0.2,0.05,space,None,0,,,,,,,0,0,0,0,0,0,0,4,90.76546100000087,,,,,,,,,,,,,,,,90.76289280000128,90.76546100000087,91.46285860000171,91.47959960000117,91.96264860000156,91.9463394000013,91.94670330000008,91.96264860000156,92.46241800000098,92.66214580000087,92.66214580000087,93.16151740000169,93.16151740000169,93.14618060000066,None,0,93.15255170000091,93.66127070000039,94.66052490000038,94.64471420000154,,,,,,,,,,001,001,2025-04-23_14h17.13.882,Cued GoNogo Task,2024.2.4,60.08802896228263,2025-04-23 14h17.22.869765 +0200,
,1,1,0,blocks/CondGo.xlsx,Go,Go,0.3,0.05,0.2,space,space,1,0.35730379999949946,None,,,,,0,0,0,0,0,1,1,2,94.66052490000038,,,,,,,,,,,,,,,,94.64501830000154,94.66052490000038,95.35990420000053,95.35990420000053,95.85949000000073,95.8438023000017,95.84454570000162,95.85949000000073,96.15931980000096,96.35931170000003,96.35931170000003,,,96.72660930000166,space,1,96.73794440000165,97.24135600000045,98.24092840000048,98.22481200000038,0.35730379999949946,None,,,,,,,,001,001,2025-04-23_14h17.13.882,Cued GoNogo Task,2024.2.4,60.08802896228263,2025-04-23 14h17.22.869765 +0200,
,2,2,0,blocks/CondGo.xlsx,Go,Go,0.2,0.05,0.2,space,space,1,0.24998049999885552,None,,,,,0,0,0,0,0,2,2,1,98.24092840000048,,,,,,,,,,,,,,,,98.22496650000176,98.24092840000048,98.94028810000054,98.94028810000054,99.43983390000176,99.42430480000075,99.42506440000034,99.43983390000176,99.63978520000092,99.8396300000004,99.8396300000004,,,100.09263980000105,space,1,100.101132400001,100.60546390000127,101.60486470000069,101.58879040000102,0.24998049999885552,None,,,,,,,,001,001,2025-04-23_14h17.13.882,Cued GoNogo Task,2024.2.4,60.08802896228263,2025-04-23 14h17.22.869765 +0200,
,3,3,0,blocks/CondGo.xlsx,Go,Go,0.1,0.05,0.2,space,space,1,0.22673930000019027,None,,,,,0,0,0,0,0,3,3,0,101.60486470000069,,,,,,,,,,,,,,,,101.58904530000109,101.60486470000069,102.30429060000097,102.30429060000097,102.80361360000097,102.78766730000098,102.7880223000011,102.80361360000097,102.90364730000147,103.10366450000038,103.10366450000038,,,103.33786770000006,space,1,103.34288170000036,103.85302370000136,104.85226150000017,104.83624880000025,0.22673930000019027,None,,,,,,,,001,001,2025-04-23_14h17.13.882,Cued GoNogo Task,2024.2.4,60.08802896228263,2025-04-23 14h17.22.869765 +0200,
,4,4,0,blocks/CondGo.xlsx,Go,Go,0.1,0.05,0.2,space,space,1,0.2166417000007641,None,,,,,0,0,0,0,0,4,4,3,104.85226150000017,,,,,,,,,,,,,,,,104.83659340000122,104.85226150000017,105.55167750000146,105.55167750000146,106.05120790000001,106.03545470000063,106.03633360000094,106.05120790000001,106.15134480000052,106.35109000000011,106.35109000000011,,,106.57058850000067,space,1,106.57683050000014,107.0836474000007,108.0858532000002,108.0671422000014,0.2166417000007641,None,,,,,,,,001,001,2025-04-23_14h17.13.882,Cued GoNogo Task,2024.2.4,60.08802896228263,2025-04-23 14h17.22.869765 +0200,
,0,0,0,blocks/CondGo.xlsx,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,001,2025-04-23_14h17.13.882,Cued GoNogo Task,2024.2.4,60.08802896228263,2025-04-23 14h17.22.869765 +0200,
,0,0,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.1,0.2,0.05,None,space,0,0.017876500000056694,None,,,,,0,1,1,1,0,0,0,3,108.0858532000002,,,,,,,,,,,,,,,,108.0841530000016,108.0858532000002,108.78218200000083,108.7989877,109.28163700000005,109.26599870000064,109.26670320000085,109.28163700000005,109.38162880000164,109.58149530000082,109.58149530000082,,,109.61657770000056,space,0,109.62654630000179,110.13112020000153,111.13026140000147,111.1145617000002,0.017876500000056694,None,,,,,,,,001,001,2025-04-23_14h17.13.882,Cued GoNogo Task,2024.2.4,60.08802896228263,2025-04-23 14h17.22.869765 +0200,
,1,1,0,blocks/CondNoGo.xlsx,NoGo,NoGo,0.2,0.2,0.05,None,space,0,0.24906409999857715,None,,,,,0,1,1,1,0,1,1,1,111.13026140000147,,,,,,,,,,,,,,,,111.11489240000083,111.13026140000147,111.8295962000011,111.8295962000011,112.32928260000153,112.31356810000034,112.31430180000098,112.32928260000153,112.52907330000016,112.7289980000005,112.7289980000005,,,112.9809677000012,space,0,112.98145220000151,113.49491720000151,114.49446230000103,114.47861490000105,0.24906409999857715,None,,,,,,,,001,001,2025-04-23_14h17.13.882,Cued GoNogo Task,2024.2.4,60.08802896228263,2025-04-23 14h17.22.869765 +0200,
,2,2,0,blocks/CondNoGo.xlsx,Go,NoGo,0.5,0.05,0.2,None,None,1,,,,,,,0,1,1,1,0,2,2,4,114.49446230000103,,,,,,,,,,,,,,,,114.47897990000092,114.49446230000103,115.19370040000103,115.19370040000103,115.6932293000009,115.6776129000009,115.6785069000016,115.6932293000009,116.19287800000166,116.39269540000168,116.39269540000168,116.89227990000109,116.89227990000109,116.87652870000056,None,1,116.88052770000104,117.39190790000066,,118.3908003000015,,,,,,,,,,001,001,2025-04-23_14h17.13.882,Cued GoNogo Task,2024.2.4,60.08802896228263,2025-04-23 14h17.22.869765 +0200,
